date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:24:05	40956/40956	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/screenshots/navbar.jpg	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/screenshots/navbar.jpg	(from http://getbootstrap.com/getting-started/)
22:24:05	4586/4586	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/navbar-static-top/	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/navbar-static-top/index.html	(from http://getbootstrap.com/getting-started/)
22:24:07	4582/4582	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/navbar-fixed-top/	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/navbar-fixed-top/index.html	(from http://getbootstrap.com/getting-started/)
22:24:09	39654/39654	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/screenshots/navbar-static.jpg	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/screenshots/navbar-static.jpg	(from http://getbootstrap.com/getting-started/)
22:24:10	37932/37932	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/screenshots/navbar-fixed.jpg	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/screenshots/navbar-fixed.jpg	(from http://getbootstrap.com/getting-started/)
22:24:10	3267/3267	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/cover/	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/cover/index.html	(from http://getbootstrap.com/getting-started/)
22:24:10	36580/36580	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/screenshots/cover.jpg	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/screenshots/cover.jpg	(from http://getbootstrap.com/getting-started/)
22:24:11	11491/11491	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/carousel/	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/carousel/index.html	(from http://getbootstrap.com/getting-started/)
22:24:11	9829/9829	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/blog/	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/blog/index.html	(from http://getbootstrap.com/getting-started/)
22:24:14	13596/13596	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/screenshots/sign-in.jpg	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/screenshots/sign-in.jpg	(from http://getbootstrap.com/getting-started/)
22:24:15	9652/9652	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/dashboard/	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/dashboard/index.html	(from http://getbootstrap.com/getting-started/)
22:24:20	82270/82270	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/screenshots/carousel.jpg	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/screenshots/carousel.jpg	(from http://getbootstrap.com/getting-started/)
